title,regions,severity,time,expires,description,uri,latitude,longitude
Winter Storm Warning,['Okanogan Valley'],warning,1579122000,1579197600,"...ANOTHER WINTER STORM TO BRING HEAVY SNOW TO THE NORTHERN VALLEYS AND MOUNTAINS LATE TODAY INTO THURSDAY MORNING... .Cold wind chills as low as 15 degrees below zero will continue down the Okanogan Valley this morning. A strong storm arrives today with snow beginning early afternoon in the Cascades before spreading east into the late afternoon and evening. ...WIND CHILL ADVISORY REMAINS IN EFFECT UNTIL 10 AM PST THIS MORNING... ...WINTER STORM WARNING IN EFFECT FROM 1 PM THIS AFTERNOON TO 10 AM PST THURSDAY... * WHAT...For the Winter Storm Warning, heavy snow expected. Total snow accumulations of 4 to 6 inches. For the Wind Chill Advisory, very cold wind chills. Wind chills as low as 20 below zero. * WHERE...Omak, Okanogan, Brewster, Bridgeport, Oroville, Nespelem, and Disautel Pass. * WHEN...For the Winter Storm Warning, from 1 PM this afternoon to 10 AM PST Thursday. For the Wind Chill Advisory, until 10 AM PST this morning. * IMPACTS...Travel could be very difficult. The hazardous conditions could impact the evening commute. The cold wind chills could cause frostbite on exposed skin in as little as 30 minutes.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AF6770.WinterStormWarning.125F34BFD420WA.OTXWSWOTX.7bccf0fe9556a56621ec3a83b06828b5,48.0536,-119.8994
Wind Chill Advisory,['Okanogan Valley'],advisory,1579084560,1579111200,"...ANOTHER WINTER STORM TO BRING HEAVY SNOW TO THE NORTHERN VALLEYS AND MOUNTAINS LATE TODAY INTO THURSDAY MORNING... .Cold wind chills as low as 15 degrees below zero will continue down the Okanogan Valley this morning. A strong storm arrives today with snow beginning early afternoon in the Cascades before spreading east into the late afternoon and evening. ...WIND CHILL ADVISORY REMAINS IN EFFECT UNTIL 10 AM PST THIS MORNING... ...WINTER STORM WARNING IN EFFECT FROM 1 PM THIS AFTERNOON TO 10 AM PST THURSDAY... * WHAT...For the Winter Storm Warning, heavy snow expected. Total snow accumulations of 4 to 6 inches. For the Wind Chill Advisory, very cold wind chills. Wind chills as low as 20 below zero. * WHERE...Omak, Okanogan, Brewster, Bridgeport, Oroville, Nespelem, and Disautel Pass. * WHEN...For the Winter Storm Warning, from 1 PM this afternoon to 10 AM PST Thursday. For the Wind Chill Advisory, until 10 AM PST this morning. * IMPACTS...Travel could be very difficult. The hazardous conditions could impact the evening commute. The cold wind chills could cause frostbite on exposed skin in as little as 30 minutes.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AF6770.WindChillAdvisory.125F34B091E0WA.OTXWSWOTX.4185018a0f1e12d32634f1f436ab9837,48.0536,-119.8994
Winter Weather Advisory,['East Slopes Northern Cascades'],advisory,1579084560,1579183200,"...ANOTHER WINTER STORM TO BRING HEAVY SNOW TO THE NORTHERN VALLEYS AND MOUNTAINS LATE TODAY INTO THURSDAY MORNING... .Cold wind chills as low as 15 degrees below zero will continue down the Okanogan Valley this morning. A strong storm arrives today with snow beginning early afternoon in the Cascades before spreading east into the late afternoon and evening. ...WINTER WEATHER ADVISORY NOW IN EFFECT UNTIL 6 AM PST THURSDAY... ...WINTER STORM WATCH IS CANCELLED... * WHAT...Snow. Snow accumulations of 5 to 9 inches with local amounts to 12 inches in the higher elevations. * WHERE...Leavenworth, Mazama, Twisp, Winthrop, Stehekin, Conconully, Blewett Pass, Loup Loup Pass, Plain, and Holden Village. * WHEN...Until 6 AM PST Thursday. * IMPACTS...Travel could be very difficult around the region, particularly on the Highway 2 approach to Stevens Pass and across Loup Loup and Blewett passes.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AF6770.WinterWeatherAdvisory.125F34BF37E0WA.OTXWSWOTX.2c21397ffeb2152847cf56832d084f24,48.0536,-119.8994
High Wind Warning,['South Washington Coast'],warning,1579118400,1579154400,"...HIGH WIND WARNING IN EFFECT FROM NOON TODAY TO 10 PM PST THIS EVENING FOR THE BEACHES AND HEADLANDS OF THE SOUTH WASHINGTON COAST... * WHAT...South winds 35 to 45 mph with gusts up to 65 mph. * WHERE...The beaches and headlands of the south Washington coast. * WHEN...From noon today to 10 PM PST this evening. The strongest winds will likely occur during the mid afternoon to early evening hours. * IMPACTS...Gusty winds could blow around unsecured objects. Isolated tree damage and power outages may result. Travel will be difficult, especially for high profile vehicles.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AF93F8.HighWindWarning.125F34BDFF60WA.PQRNPWPQR.b0ac6f5cbb84f083193f3867698cc9d1,46.3076,-123.6344
High Wind Warning,['East Puget Sound Lowlands'],warning,1579122000,1579154400,"...HIGH WIND WARNING IN EFFECT FROM 1 PM THIS AFTERNOON TO 10 PM PST THIS EVENING... * WHAT...East to southeast winds 30 to 40 mph with gusts of 55 to 60 mph expected. * WHERE...East Puget Sound Lowlands. * WHEN...From 1 PM this afternoon to 10 PM PST this evening. * IMPACTS...Damaging winds combined with the heavy wet snow will blow down trees and power lines. Power outages are likely. Travel will be difficult, especially for high profile vehicles.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AF8458.HighWindWarning.125F34BDFF60WA.SEWNPWSEW.08f84a158c0ca7b009f1581be3e39c7b,47.1417,-122.4376
Wind Advisory,['Western Whatcom County'],advisory,1579122000,1579165200,"...WIND ADVISORY IN EFFECT FROM 1 PM THIS AFTERNOON TO 1 AM PST THURSDAY... * WHAT...East winds 25 to 35 mph with gusts up to 45 mph expected. * WHERE...Western Whatcom County. * WHEN...From 1 PM this afternoon to 1 AM PST Thursday. * IMPACTS...Gusty winds could blow around unsecured objects. Tree limbs could be blown down and a few power outages may result.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AF8458.WindAdvisory.125F34BE7490WA.SEWNPWSEW.c1e19d82932fac91b52c0b3d368353c3,48.923,-122.7543
Winter Weather Advisory,['West Slopes South Central Cascades and Passes'],advisory,1579122000,1579183200,"...WINTER WEATHER ADVISORY REMAINS IN EFFECT FROM 1 PM THIS AFTERNOON TO 6 AM PST THURSDAY ABOVE 1500 FEET... * WHAT...Snow expected above 1500 feet. Total snow accumulations of 1 to 7 inches. Winds gusting as high as 45 mph. * WHERE...Cascade mountains and valleys of Pierce and Lewis Counties, including the Crystal Mountain Ski Area, Paradise on Mount Rainier, Ashford, Randle, and Packwood. * WHEN...From 1 PM this afternoon to 6 AM PST Thursday. * IMPACTS...Plan on slippery road conditions.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AFDE94.WinterWeatherAdvisory.125F34BF37E0WA.SEWWSWSEW.fbf2a599fabd22f1b7fc7c872a51157d,46.7537,-122.0113
Winter Storm Warning,"['Bremerton and Vicinity', 'Hood Canal Area']",warning,1579095660,1579132800,"...WINTER STORM WARNING REMAINS IN EFFECT UNTIL 4 PM PST THIS AFTERNOON... * WHAT...Scattered snow showers early this morning. Next round arrives late this morning into the afternoon with additional snow accumulations of 1 to 4 inches. Locally higher amounts possible around Hood Canal. * WHERE...Portions of northwest and west central Washington. * WHEN...Until 4 PM PST this afternoon. * IMPACTS...Travel could be very difficult.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AFDE94.WinterStormWarning.125F34BD1500WA.SEWWSWSEW.087ecb4c7e3606365ad0a7d4d4bd2f9a,47.5508,-122.6655
Winter Storm Warning,['Okanogan Valley'],warning,1579122000,1579197600,"...ANOTHER WINTER STORM TO BRING HEAVY SNOW TO THE NORTHERN VALLEYS AND MOUNTAINS LATE TODAY INTO THURSDAY MORNING... .Cold wind chills as low as 15 degrees below zero will continue down the Okanogan Valley this morning. A strong storm arrives today with snow beginning early afternoon in the Cascades before spreading east into the late afternoon and evening. ...WIND CHILL ADVISORY REMAINS IN EFFECT UNTIL 10 AM PST THIS MORNING... ...WINTER STORM WARNING IN EFFECT FROM 1 PM THIS AFTERNOON TO 10 AM PST THURSDAY... * WHAT...For the Winter Storm Warning, heavy snow expected. Total snow accumulations of 4 to 6 inches. For the Wind Chill Advisory, very cold wind chills. Wind chills as low as 20 below zero. * WHERE...Omak, Okanogan, Brewster, Bridgeport, Oroville, Nespelem, and Disautel Pass. * WHEN...For the Winter Storm Warning, from 1 PM this afternoon to 10 AM PST Thursday. For the Wind Chill Advisory, until 10 AM PST this morning. * IMPACTS...Travel could be very difficult. The hazardous conditions could impact the evening commute. The cold wind chills could cause frostbite on exposed skin in as little as 30 minutes.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AF6770.WinterStormWarning.125F34BFD420WA.OTXWSWOTX.7bccf0fe9556a56621ec3a83b06828b5,48.4228,-119.5159
Wind Chill Advisory,['Okanogan Valley'],advisory,1579084560,1579111200,"...ANOTHER WINTER STORM TO BRING HEAVY SNOW TO THE NORTHERN VALLEYS AND MOUNTAINS LATE TODAY INTO THURSDAY MORNING... .Cold wind chills as low as 15 degrees below zero will continue down the Okanogan Valley this morning. A strong storm arrives today with snow beginning early afternoon in the Cascades before spreading east into the late afternoon and evening. ...WIND CHILL ADVISORY REMAINS IN EFFECT UNTIL 10 AM PST THIS MORNING... ...WINTER STORM WARNING IN EFFECT FROM 1 PM THIS AFTERNOON TO 10 AM PST THURSDAY... * WHAT...For the Winter Storm Warning, heavy snow expected. Total snow accumulations of 4 to 6 inches. For the Wind Chill Advisory, very cold wind chills. Wind chills as low as 20 below zero. * WHERE...Omak, Okanogan, Brewster, Bridgeport, Oroville, Nespelem, and Disautel Pass. * WHEN...For the Winter Storm Warning, from 1 PM this afternoon to 10 AM PST Thursday. For the Wind Chill Advisory, until 10 AM PST this morning. * IMPACTS...Travel could be very difficult. The hazardous conditions could impact the evening commute. The cold wind chills could cause frostbite on exposed skin in as little as 30 minutes.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AF6770.WindChillAdvisory.125F34B091E0WA.OTXWSWOTX.4185018a0f1e12d32634f1f436ab9837,48.4228,-119.5159
High Wind Warning,['East Puget Sound Lowlands'],warning,1579122000,1579154400,"...HIGH WIND WARNING IN EFFECT FROM 1 PM THIS AFTERNOON TO 10 PM PST THIS EVENING... * WHAT...East to southeast winds 30 to 40 mph with gusts of 55 to 60 mph expected. * WHERE...East Puget Sound Lowlands. * WHEN...From 1 PM this afternoon to 10 PM PST this evening. * IMPACTS...Damaging winds combined with the heavy wet snow will blow down trees and power lines. Power outages are likely. Travel will be difficult, especially for high profile vehicles.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AF8458.HighWindWarning.125F34BDFF60WA.SEWNPWSEW.08f84a158c0ca7b009f1581be3e39c7b,47.1615,-122.02
High Wind Warning,['East Puget Sound Lowlands'],warning,1579122000,1579154400,"...HIGH WIND WARNING IN EFFECT FROM 1 PM THIS AFTERNOON TO 10 PM PST THIS EVENING... * WHAT...East to southeast winds 30 to 40 mph with gusts of 55 to 60 mph expected. * WHERE...East Puget Sound Lowlands. * WHEN...From 1 PM this afternoon to 10 PM PST this evening. * IMPACTS...Damaging winds combined with the heavy wet snow will blow down trees and power lines. Power outages are likely. Travel will be difficult, especially for high profile vehicles.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AF8458.HighWindWarning.125F34BDFF60WA.SEWNPWSEW.08f84a158c0ca7b009f1581be3e39c7b,47.8525,-122.1058
Winter Storm Warning,"['Bremerton and Vicinity', 'Hood Canal Area']",warning,1579095660,1579132800,"...WINTER STORM WARNING REMAINS IN EFFECT UNTIL 4 PM PST THIS AFTERNOON... * WHAT...Scattered snow showers early this morning. Next round arrives late this morning into the afternoon with additional snow accumulations of 1 to 4 inches. Locally higher amounts possible around Hood Canal. * WHERE...Portions of northwest and west central Washington. * WHEN...Until 4 PM PST this afternoon. * IMPACTS...Travel could be very difficult.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AFDE94.WinterStormWarning.125F34BD1500WA.SEWWSWSEW.087ecb4c7e3606365ad0a7d4d4bd2f9a,47.7417,-122.6408
High Wind Warning,['East Puget Sound Lowlands'],warning,1579122000,1579154400,"...HIGH WIND WARNING IN EFFECT FROM 1 PM THIS AFTERNOON TO 10 PM PST THIS EVENING... * WHAT...East to southeast winds 30 to 40 mph with gusts of 55 to 60 mph expected. * WHERE...East Puget Sound Lowlands. * WHEN...From 1 PM this afternoon to 10 PM PST this evening. * IMPACTS...Damaging winds combined with the heavy wet snow will blow down trees and power lines. Power outages are likely. Travel will be difficult, especially for high profile vehicles.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AF8458.HighWindWarning.125F34BDFF60WA.SEWNPWSEW.08f84a158c0ca7b009f1581be3e39c7b,47.1203,-122.2848
Winter Weather Advisory,['Lower Columbia and I - 5 Corridor in Cowlitz County'],advisory,1579111200,1579176000,"...MORE SNOW EXPECTED IN THE OREGON COASTAL RANGES AND THE WASHINGTON AND OREGON CASCADES WEDNESDAY INTO THURSDAY... .A strong area of low pressure off the Pacific Northwest coast will spread moisture inland today. Relatively low snow levels are expected to result in moderate snow accumulations affecting much of Southwest Washington, the Columbia River Gorge, and the hills above 1000 to 1500 feet around Northwest Oregon midday today through early Thursday. ...WINTER WEATHER ADVISORY IN EFFECT FROM 10 AM THIS MORNING TO 4 AM PST THURSDAY... * WHAT...Snow expected. Total snow accumulations ranging from a dusting to 1 inch for the valleys, and 1 to 3 inches for the hills. * WHERE...In Washington, I-5 Corridor in Cowlitz County. In Oregon, Lower Columbia. * WHEN...From 10 AM this morning to 4 AM PST Thursday. * IMPACTS...Plan on slippery road conditions. * ADDITIONAL DETAILS...Snow level will rise to around 1000 feet later this afternoon, remaining near 1000 feet tonight.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AFAE24.WinterWeatherAdvisory.125F34BEE9C0WA.PQRWSWPQR.7c65fcd8694463aed6b69b2f23a81139,46.1796,-122.9577
Winter Storm Warning,"['Bremerton and Vicinity', 'Hood Canal Area']",warning,1579095660,1579132800,"...WINTER STORM WARNING REMAINS IN EFFECT UNTIL 4 PM PST THIS AFTERNOON... * WHAT...Scattered snow showers early this morning. Next round arrives late this morning into the afternoon with additional snow accumulations of 1 to 4 inches. Locally higher amounts possible around Hood Canal. * WHERE...Portions of northwest and west central Washington. * WHEN...Until 4 PM PST this afternoon. * IMPACTS...Travel could be very difficult.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AFDE94.WinterStormWarning.125F34BD1500WA.SEWWSWSEW.087ecb4c7e3606365ad0a7d4d4bd2f9a,47.5973,-122.7021
Winter Weather Advisory,['Greater Vancouver Area'],advisory,1579111200,1579176000,"...MORE SNOW EXPECTED IN THE OREGON COASTAL RANGES AND THE WASHINGTON AND OREGON CASCADES WEDNESDAY INTO THURSDAY... .A strong area of low pressure off the Pacific Northwest coast will spread moisture inland today. Relatively low snow levels are expected to result in moderate snow accumulations affecting much of Southwest Washington, the Columbia River Gorge, and the hills above 1000 to 1500 feet around Northwest Oregon midday today through early Thursday. ...WINTER WEATHER ADVISORY IN EFFECT FROM 10 AM THIS MORNING TO 4 AM PST THURSDAY... * WHAT...Snow expected. Total snow accumulations ranging from 1 inch or less in the lowlands, with 1 to 4 inches expected in the hills. Heaviest accumulations will occur in the hills above 800 feet. Winds gusting to 45 mph near the Gorge. * WHERE...Greater Vancouver Area, mainly above 500 feet. * WHEN...From 10 AM this morning to 4 AM PST Thursday. * IMPACTS...Plan on slippery road conditions. The hazardous conditions could impact the evening commute. Spotty light freezing rain is possible tonight.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AFAE24.WinterWeatherAdvisory.125F34BEE9C0WA.PQRWSWPQR.47751e23eb1799f91a1d4b9a469a5296,45.9122,-122.4795
Winter Weather Advisory,['South Washington Cascade Foothills'],advisory,1579111200,1579176000,"...MORE SNOW EXPECTED IN THE OREGON COASTAL RANGES AND THE WASHINGTON AND OREGON CASCADES WEDNESDAY INTO THURSDAY... .A strong area of low pressure off the Pacific Northwest coast will spread moisture inland today. Relatively low snow levels are expected to result in moderate snow accumulations affecting much of Southwest Washington, the Columbia River Gorge, and the hills above 1000 to 1500 feet around Northwest Oregon midday today through early Thursday. ...WINTER WEATHER ADVISORY IN EFFECT FROM 10 AM THIS MORNING TO 4 AM PST THURSDAY... * WHAT...Snow expected. Total snow accumulations of 3 to 6 inches. Winds gusting as high as 40 mph. * WHERE...South Washington Cascade Foothills. * WHEN...From 10 AM this morning to 4 AM PST Thursday. * IMPACTS...Travel could be very difficult. * ADDITIONAL DETAILS...A few pockets of freezing rain are possible in the valleys tonight.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AFAE24.WinterWeatherAdvisory.125F34BEE9C0WA.PQRWSWPQR.e4a793c93c02102427ac863b77610af2,45.9122,-122.4795
High Wind Warning,['East Puget Sound Lowlands'],warning,1579122000,1579154400,"...HIGH WIND WARNING IN EFFECT FROM 1 PM THIS AFTERNOON TO 10 PM PST THIS EVENING... * WHAT...East to southeast winds 30 to 40 mph with gusts of 55 to 60 mph expected. * WHERE...East Puget Sound Lowlands. * WHEN...From 1 PM this afternoon to 10 PM PST this evening. * IMPACTS...Damaging winds combined with the heavy wet snow will blow down trees and power lines. Power outages are likely. Travel will be difficult, especially for high profile vehicles.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AF8458.HighWindWarning.125F34BDFF60WA.SEWNPWSEW.08f84a158c0ca7b009f1581be3e39c7b,47.2328,-122.3518
Winter Storm Warning,"['Northeast Mountains', 'Okanogan Highlands']",warning,1579132800,1579204800,"...ANOTHER WINTER STORM TO BRING HEAVY SNOW TO THE NORTHERN VALLEYS AND MOUNTAINS LATE TODAY INTO THURSDAY MORNING... .Cold wind chills as low as 15 degrees below zero will continue down the Okanogan Valley this morning. A strong storm arrives today with snow beginning early afternoon in the Cascades before spreading east into the late afternoon and evening. ...WINTER STORM WARNING IN EFFECT FROM 4 PM THIS AFTERNOON TO NOON PST THURSDAY... * WHAT...Heavy snow expected. Total snow accumulations of 4 to 6 inches in the valleys and 6 to 12 inches in the mountains. * WHERE...Colville, Northport, Deer Park, Chewelah, Newport, Kettle Falls, Springdale-Hunters Road, Orin-Rice Road, Flowery Trail Road, Republic, Inchelium, Wauconda, Chesaw Road, Highway 20 Wauconda Summit, Boulder Creek Road, and Sherman Pass. * WHEN...From 4 PM this afternoon to noon PST Thursday. * IMPACTS...Travel could be very difficult. Patchy blowing snow could significantly reduce visibility. The hazardous conditions could impact the morning or evening commute.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AF6770.WinterStormWarning.125F34C02240WA.OTXWSWOTX.155ac8641ccead0cbb188b47ce0b58ba,48.2929,-117.7336
High Wind Warning,"['Central Coast', 'North Coast']",warning,1579122000,1579154400,"...HIGH WIND WARNING IN EFFECT FROM 1 PM THIS AFTERNOON TO 10 PM PST THIS EVENING... * WHAT...Southeast winds 35 to 45 mph with gusts of 55 to 60 mph expected. * WHERE...North Coast and Central Coast. * WHEN...From 1 PM this afternoon to 10 PM PST this evening. * IMPACTS...Damaging winds will blow down trees and power lines. Power outages are expected. Travel will be difficult, especially for high profile vehicles.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AF8458.HighWindWarning.125F34BDFF60WA.SEWNPWSEW.bb0ba30f7451a6c1dfc04df5172a78f9,46.8304,-124.0898
Winter Weather Advisory,['East Slopes of the Washington Cascades'],advisory,1579122000,1579197600,"...WINTER WEATHER ADVISORY IN EFFECT FROM 1 PM THIS AFTERNOON TO 10 AM PST THURSDAY... * WHAT...Snow expected. Total snow accumulations of 5 to 10 inches. Winds gusting 20 to 40 mph. * WHERE...In Washington, East Slopes of the Cascades. In Oregon, East Slopes of the Cascades. * WHEN...From 1 PM this afternoon to 10 AM PST Thursday. * IMPACTS...Travel could be very difficult. Increasing winds will cause blowing and drifting snow late today and tonight.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AFAE88.WinterWeatherAdvisory.125F34BFD420WA.PDTWSWPDT.3a7924d88ec8b4eb68f9eec8bff7077c,46.9837,-120.4191
